,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
157795,2013-04-15 08:18:00,TRESPASS,LODGING WITHOUT PERMISSION,Monday,SOUTHERN,"ARREST, CITED",MISSION ST / MARY ST,-122.407258776463,37.7821176524238
646636,2006-03-10 18:30:00,ASSAULT,THREATS AGAINST LIFE,Friday,NORTHERN,NONE,1800 Block of FRANKLIN ST,-122.424184369394,37.7915405312675
110626,2013-11-15 15:16:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,BAYVIEW,NONE,300 Block of BAY SHORE BL,-122.406825183678,37.741054981526
7066,2015-04-05 09:45:00,NON-CRIMINAL,AIDED CASE,Sunday,INGLESIDE,NONE,0 Block of SGTJOHNVYOUNG LN,-122.44470706345501,37.7249307267936
294590,2011-05-03 02:10:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Tuesday,NORTHERN,NONE,600 Block of POLK ST,-122.419020964349,37.782652976076996
464529,2008-10-28 07:35:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
669435,2005-11-15 15:30:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Tuesday,SOUTHERN,PROSECUTED BY OUTSIDE AGENCY,100 Block of 8TH ST,-122.41180419354099,37.7764569797784
790832,2004-03-04 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,0 Block of MINERVA ST,-122.45482159762301,37.7156897626856
755838,2004-08-19 17:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,NORTHERN,NONE,800 Block of VAN NESS AV,-122.421093503943,37.7835810166348
494,2015-05-12 16:50:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,MISSION,NONE,TREAT AV / 24TH ST,-122.41299748806802,37.7525722462226
59679,2014-07-27 18:16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,SANSOME ST / CHESTNUT ST,-122.403532080065,37.8049688863959
656347,2006-01-23 17:35:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Monday,PARK,"ARREST, BOOKED",1100 Block of ARGUELLO BL,-122.45783720944901,37.7666852184101
848757,2003-05-26 02:00:00,ASSAULT,THREATS AGAINST LIFE,Monday,INGLESIDE,NONE,100 Block of RIDGEWOOD AV,-122.453340819787,37.731109719148606
35990,2014-11-16 08:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,CENTRAL,NONE,1500 Block of THE EMBARCADERONORTH ST,-122.408136108062,37.8078603496682
664170,2005-12-13 13:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
558403,2007-06-27 12:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,100 Block of LAKE MERCED BL,-122.498260658354,37.7317375230417
617284,2006-08-10 16:12:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,TENDERLOIN,NONE,100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
571157,2007-04-18 23:44:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,NORTHERN,"ARREST, BOOKED",1100 Block of POST ST,-122.42075384839899,37.7866670084912
64254,2014-07-09 17:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,HARRISON ST / 1ST ST,-122.39294094866301,37.7860677021529
49085,2014-09-18 18:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,RICHMOND,NONE,5500 Block of GEARY BL,-122.478861040049,37.7804830223849
168714,2013-02-19 18:50:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,JORDAN AV / GEARY BL,-122.456624280996,37.781366396959996
297143,2011-04-19 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,TELEGRAPHHILL BL / LOMBARD ST,-122.40632366356701,37.80366571840929
530578,2007-11-15 16:39:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,INGLESIDE,"ARREST, CITED",MISSION ST / SILVER AV,-122.43129500296301,37.7287297938303
797997,2004-02-02 14:30:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,MISSION,"ARREST, BOOKED",23RD ST / UTAH ST,-122.40545578923201,37.754337082098
800328,2004-01-21 10:20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
329818,2010-10-21 07:55:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,JUNIPERO SERRA BL / WINSTON DR,-122.47205531390699,37.7268239063089
328010,2010-11-01 17:00:00,NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,NONE,0 Block of GROVE ST,-122.417448582701,37.7786438096934
815788,2003-10-30 14:40:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,NORTHERN,NONE,1800 Block of BUCHANAN ST,-122.430143811017,37.7869726260489
129950,2013-08-22 09:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,1000 Block of COLUMBUS AV,-122.41580654703999,37.80411342068261
529760,2007-11-17 17:30:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,SOUTHERN,UNFOUNDED,10TH ST / MISSION ST,-122.41591119886999,37.775272150137894
251746,2011-12-26 10:00:00,MISSING PERSON,MISSING ADULT,Monday,SOUTHERN,NONE,1200 Block of MARKET ST,-122.415448759562,37.778293520129
173739,2013-01-24 17:00:00,MISSING PERSON,FOUND PERSON,Thursday,SOUTHERN,LOCATED,0 Block of GOUGH ST,-122.421205551035,37.772530516267295
469886,2008-10-01 13:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,SOUTHERN,NONE,800 Block of 7TH ST,-122.400455071852,37.7707817099653
118504,2013-10-14 18:00:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,BAYVIEW,NONE,INNES AV / 3RD ST,-122.38903332744499,37.7395346503107
366738,2010-04-07 14:27:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Wednesday,INGLESIDE,NONE,900 Block of ELLSWORTH ST,-122.416446124049,37.732916253953704
103222,2013-12-27 20:41:00,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Friday,BAYVIEW,"ARREST, BOOKED",1000 Block of OAKDALE AV,-122.380268162997,37.7289171340996
346813,2010-07-26 17:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE,0 Block of HOFFMAN AV,-122.44096067738501,37.7536986542799
481908,2008-07-27 16:30:00,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Sunday,INGLESIDE,NONE,600 Block of BRUNSWICK ST,-122.447162150691,37.7091863074769
668815,2005-11-17 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,CENTRAL,NOT PROSECUTED,400 Block of CHESTNUT ST,-122.410785190114,37.8041178496836
786555,2004-03-29 00:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,7TH ST / MARKET ST,-122.41251534136299,37.7804777480279
25544,2015-01-09 20:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,FRANKLIN ST / GEARY BL,-122.423031175088,37.7854818747419
519507,2008-01-13 14:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,TARAVAL,NONE,200 Block of STCHARLES AV,-122.469210289942,37.7096096121143
483371,2008-07-23 22:08:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,TENDERLOIN,NONE,400 Block of TURK ST,-122.416342977622,37.7824465135592
193882,2012-10-17 11:06:00,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",TURK ST / JONES ST,-122.41241426358101,37.7830037964534
644300,2006-03-23 23:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,TENDERLOIN,"ARREST, BOOKED",400 Block of EDDY ST,-122.415088721046,37.7836719564372
386515,2009-12-09 16:50:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,MISSION,"ARREST, BOOKED",200 Block of DORLAND ST,-122.42956842417,37.7621391532166
684854,2005-08-27 10:30:00,VEHICLE THEFT,STOLEN TRUCK,Saturday,NORTHERN,NONE,CHESTNUT ST / WEBSTER ST,-122.434605349214,37.80102686249671
163773,2013-03-10 20:11:00,WARRANTS,WARRANT ARREST,Sunday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
410443,2009-08-07 21:00:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,NORTHERN,NONE,600 Block of EDDY ST,-122.41838200860701,37.783258377094896
325018,2010-11-16 16:22:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,PARK,PSYCHOPATHIC CASE,800 Block of PIERCE ST,-122.43502821575001,37.7777469477364
400552,2009-09-28 12:30:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425
38723,2014-11-02 17:15:00,WARRANTS,PROBATION SEARCH,Sunday,MISSION,"ARREST, BOOKED",500 Block of POTRERO AV,-122.407373403663,37.762542744232796
30624,2014-12-13 22:56:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,RICHMOND,"ARREST, BOOKED",19TH AV / LINCOLN WY,-122.47730912060301,37.765446071582495
696436,2005-06-30 13:00:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Thursday,MISSION,NONE,100 Block of POTRERO AV,-122.40781699823401,37.7677012635524
831506,2003-08-19 10:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,SOUTHERN,NONE,1300 Block of MARKET ST,-122.416818891994,37.776936201488105
386419,2009-12-09 21:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,SOUTHERN,"ARREST, BOOKED",MARKET ST / GOLDEN GATE AV,-122.41029351969,37.7822305870036
400419,2009-09-28 19:48:00,OTHER OFFENSES,PAROLE VIOLATION,Monday,SOUTHERN,"ARREST, BOOKED",MARKET ST / GOLDEN GATE AV,-122.41029351969,37.7822305870036
19758,2015-02-06 13:40:00,TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063
471807,2008-09-19 19:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,SOUTHERN,NONE,0 Block of THE EMBARCADEROSOUTH ST,-122.38837987391899,37.783310406701496
722874,2005-02-12 18:10:00,ASSAULT,THREATS AGAINST LIFE,Saturday,RICHMOND,NONE,3200 Block of GEARY BL,-122.45370298069099,37.7817840733425
30857,2014-12-13 12:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Saturday,MISSION,NONE,3900 Block of 19TH ST,-122.431545067519,37.7594343258621
703876,2005-05-21 02:05:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 1ST ST,-122.392940948704,37.7860677021294
853360,2003-05-01 00:24:00,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.409853729941,37.7833862379382
98318,2014-01-23 01:15:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,100 Block of 3RD ST,-122.400916029025,37.7854574902997
206275,2012-08-20 16:00:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,NORTHERN,NONE,0 Block of MARINA BL,-122.432951589917,37.805052022888106
203575,2012-09-03 01:15:00,FRAUD,FALSE ID TO PEACE OFFICER,Monday,BAYVIEW,"ARREST, CITED",BAY SHORE BL / OAKDALE AV,-122.405242467114,37.7430506903112
457124,2008-11-29 16:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,300 Block of 8TH ST,-122.409741744881,37.7748104405794
854770,2003-04-20 16:55:00,WARRANTS,WARRANT ARREST,Sunday,TENDERLOIN,"ARREST, BOOKED",TAYLOR ST / ELLIS ST,-122.41114194810801,37.785073619727
674728,2005-10-19 17:00:00,MISSING PERSON,MISSING ADULT,Wednesday,CENTRAL,LOCATED,600 Block of BROADWAY ST,-122.407822401083,37.7976687725776
332620,2010-10-06 21:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,STILL ST / ROTTECK ST,-122.430842583207,37.7318165333991
256940,2011-11-20 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,25TH ST / DEHARO ST,-122.400419418641,37.752075284530896
530164,2007-11-16 16:28:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TARAVAL,"ARREST, BOOKED",200 Block of BROAD ST,-122.460830178051,37.71310598536179
93704,2014-02-17 08:00:00,NON-CRIMINAL,FOUND PROPERTY,Monday,MISSION,NONE,3700 Block of 26TH ST,-122.42426693511801,37.7487329606106
227776,2012-04-22 23:59:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,MISSION,NONE,16TH ST / MARKET ST,-122.43307515240299,37.76419377902421
83247,2014-04-04 14:30:00,ASSAULT,BATTERY,Friday,TARAVAL,NONE,300 Block of VICTORIA ST,-122.465400905286,37.717034629025505
874016,2003-01-22 20:43:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,TENDERLOIN,"ARREST, BOOKED",600 Block of OFARRELL ST,-122.41533612902,37.7854364798696
304854,2011-03-07 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,BRANNAN ST / 9TH ST,-122.40700425524099,37.770049109612
575317,2007-03-24 08:00:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Saturday,TARAVAL,NONE,0 Block of MIRAMAR AV,-122.458100917325,37.7191297288314
187463,2012-11-15 07:30:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,MISSION,NONE,1300 Block of VERMONT ST,-122.40341432601299,37.752524020261
295556,2011-04-23 02:05:00,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED",POLK ST / CALIFORNIA ST,-122.420691680792,37.790577071053704
457519,2008-11-28 13:30:00,ASSAULT,BATTERY,Friday,BAYVIEW,"ARREST, BOOKED",6200 Block of 3RD ST,-122.395989596412,37.721313139839
275907,2011-08-12 08:00:00,NON-CRIMINAL,FOUND PROPERTY,Friday,TENDERLOIN,NONE,300 Block of EDDY ST,-122.412930522059,37.7838344374141
583949,2007-02-07 13:00:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
350794,2010-07-01 21:12:00,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Thursday,TARAVAL,"ARREST, BOOKED",SAN JOSE AV / LAKEVIEW AV,-122.45037817169701,37.716169470773394
530034,2007-11-16 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,INGLESIDE,NONE,4700 Block of MISSION ST,-122.43686793261699,37.7220486455317
442531,2009-02-19 22:59:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of TAYLOR ST,-122.410928353347,37.7836778741124
150181,2013-05-17 17:30:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,CENTRAL,NONE,200 Block of GEARY ST,-122.407434989523,37.787515874162295
369137,2010-03-24 16:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,RICHMOND,"ARREST, CITED",SCOTT ST / WASHINGTON ST,-122.439310499327,37.790970029232895
279616,2011-07-25 19:45:00,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Monday,TENDERLOIN,NONE,200 Block of OFARRELL ST,-122.408519707346,37.7864044708209
849478,2003-05-17 01:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Saturday,MISSION,NONE,1200 Block of FLORIDA ST,-122.409919964913,37.7519308956425
267101,2011-09-25 21:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,MISSION,NONE,2100 Block of MARKET ST,-122.43001865524201,37.7668305229582
240947,2012-02-20 07:31:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of 7TH ST,-122.412272455406,37.7802039058686
462743,2008-11-01 09:26:00,ASSAULT,BATTERY,Saturday,SOUTHERN,NONE,700 Block of HARRISON ST,-122.397814506334,37.7821372491619
692702,2005-07-16 22:00:00,NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
333838,2010-09-26 16:30:00,LARCENY/THEFT,GRAND THEFT AUTO STRIP,Sunday,TARAVAL,NONE,500 Block of KIRKHAM ST,-122.466592497566,37.7602327684601
338,2015-05-13 02:22:00,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,TARAVAL,"ARREST, BOOKED",34TH AV / VICENTE ST,-122.49152431166901,37.7386133211681
20706,2015-02-04 10:06:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,PARK,"ARREST, BOOKED",1500 Block of HAIGHT ST,-122.44778307055901,37.769954950346495
672931,2005-10-31 10:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,INGLESIDE,NONE,4300 Block of MISSION ST,-122.43276183620002,37.7274388238677
440618,2009-03-03 21:00:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Tuesday,SOUTHERN,NONE,1000 Block of FOLSOM ST,-122.407203031938,37.7773283973146
453985,2008-12-22 07:00:00,MISSING PERSON,MISSING ADULT,Monday,PARK,NONE,0 Block of SHRADER ST,-122.452839772389,37.7745145380854
591751,2006-12-26 17:45:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,NORTHERN,NONE,MCALLISTER ST / STEINER ST,-122.433407437639,37.7784228998869
549848,2007-08-09 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,GEARY BL / WEBSTER ST,-122.431206932079,37.7845681170336
676917,2005-10-07 14:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,"ARREST, BOOKED",ANTONIO ST / JONES ST,-122.41288317793999,37.785353035870706
800669,2004-01-20 14:40:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.453534560634,37.76916629781029
604910,2006-10-16 18:37:00,ASSAULT,THREATENING PHONE CALL(S),Monday,NORTHERN,NONE,0 Block of WESTERNSHORES LN,-122.429149563529,37.7839672336818
319202,2010-12-16 20:10:00,OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,Thursday,RICHMOND,"ARREST, BOOKED",200 Block of 27TH AV,-122.487286329731,37.7846960912645
70526,2014-06-10 09:40:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,SOUTHERN,"ARREST, CITED",400 Block of NATOMA ST,-122.407039055082,37.780756518359105
700915,2005-06-04 09:23:00,WARRANTS,WARRANT ARREST,Saturday,NORTHERN,"ARREST, BOOKED",600 Block of VANNESS AV,-122.420337977211,37.7812881245951
432698,2009-04-05 18:34:00,ASSAULT,THREATS AGAINST LIFE,Sunday,TARAVAL,"ARREST, BOOKED",400 Block of PLYMOUTH AV,-122.45613595230301,37.7144981006436
594246,2006-12-12 11:23:00,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,MISSION,"ARREST, BOOKED",1900 Block of MISSION ST,-122.419814593811,37.7658427213372
849704,2003-05-16 15:30:00,WARRANTS,WARRANT ARREST,Friday,BAYVIEW,"ARREST, BOOKED",1000 Block of OAKDALE AV,-122.380268162997,37.7289171340996
640656,2006-04-09 00:38:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,NORTHERN,"ARREST, BOOKED",1200 Block of SUTTER ST,-122.42094190608499,37.787596162201204
95728,2014-02-05 05:30:00,ASSAULT,DISCHARGING IN GROSSLY NEGLIGENT MANNER,Wednesday,BAYVIEW,NONE,1400 Block of MCKINNON CT,-122.386995296821,37.7345066503794
634624,2006-05-16 10:35:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,MISSION,PSYCHOPATHIC CASE,2300 Block of MISSION ST,-122.41905886810301,37.7594227506297
18108,2015-02-17 16:40:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Tuesday,SOUTHERN,NONE,1300 Block of MARKET ST,-122.416991089644,37.777074192255995
270704,2011-09-09 18:00:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Friday,BAYVIEW,NONE,700 Block of DARTMOUTH ST,-122.40968307243799,37.7213765445231
751013,2004-09-14 20:35:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,NORTHERN,"ARREST, BOOKED",600 Block of LARKIN ST,-122.41759424770599,37.7840149232554
371622,2010-03-10 18:26:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.414081138014,37.7832767266062
159239,2013-04-04 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.432914603494,37.7843533426568
29746,2014-12-23 06:12:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Tuesday,INGLESIDE,NONE,800 Block of CHENERY ST,-122.435980053066,37.7348135014552
73832,2014-05-18 17:00:00,OTHER OFFENSES,PROBATION VIOLATION,Sunday,TARAVAL,"ARREST, BOOKED",2200 Block of 38TH AV,-122.496174258778,37.744936012924796
369831,2010-03-22 20:10:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,NORTHERN,"ARREST, BOOKED",2400 Block of LOMBARD ST,-122.441854041374,37.7992097167784
864846,2003-03-06 10:30:00,ASSAULT,THREATS AGAINST LIFE,Thursday,RICHMOND,"ARREST, BOOKED",300 Block of 31ST AV,-122.491297226769,37.7826440606001
12560,2015-03-16 07:33:00,MISSING PERSON,MISSING JUVENILE,Monday,RICHMOND,NONE,700 Block of 33RD AV,-122.492903087989,37.7749629647565
240551,2012-02-21 12:54:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.410793915482,37.780832063096
244938,2012-01-26 21:56:00,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Thursday,NORTHERN,"ARREST, BOOKED",1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044
438004,2009-03-17 09:25:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,PSYCHOPATHIC CASE,700 Block of POLK ST,-122.419159190984,37.7833430636234
492995,2008-05-31 22:15:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Saturday,NORTHERN,"ARREST, CITED",SUTTER ST / LARKIN ST,-122.418467747931,37.7879652569797
286618,2011-06-14 21:30:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,NORTHERN,NONE,1000 Block of POLK ST,-122.41995005763201,37.7865904778229
117598,2013-10-16 18:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
394460,2009-10-28 05:30:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.406346425632,37.7791674218963
508081,2008-03-18 09:30:00,WARRANTS,WARRANT ARREST,Tuesday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
806903,2003-12-13 04:10:00,TRESPASS,TRESPASSING,Saturday,MISSION,"ARREST, BOOKED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
237660,2012-03-06 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",Tuesday,TARAVAL,NONE,1400 Block of 39TH AV,-122.49828850658702,37.7598069177729
570344,2007-04-20 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE,2100 Block of JERROLD AV,-122.399584369354,37.744502957470395
157492,2013-04-15 21:15:00,WARRANTS,WARRANT ARREST,Monday,BAYVIEW,"ARREST, BOOKED",1500 Block of LASALLE AV,-122.38786030801201,37.736162689487706
369167,2010-03-24 15:30:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,1700 Block of FILLMORE ST,-122.43324763527201,37.785618478667104
25745,2015-01-09 13:41:00,MISSING PERSON,FOUND PERSON,Friday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40970842372101,37.78282764988379
9237,2015-03-31 00:30:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,SOUTHERN,NONE,7TH ST / MINNA ST,-122.41040560213499,37.778784148603286
752151,2004-09-04 18:25:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,MISSION,"ARREST, CITED",16TH ST / BRYANT ST,-122.41048882931601,37.765605863874995
562474,2007-06-02 11:45:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Saturday,RICHMOND,"ARREST, BOOKED",2800 Block of GEARY BL,-122.44958034096202,37.7820535935304
5107,2015-04-17 08:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
90760,2014-03-03 12:43:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,MISSION,"ARREST, CITED",17TH ST / SHOTWELL ST,-122.41623039254299,37.7636337702985
450599,2009-01-08 08:09:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED",PALOU AV / 3RD ST,-122.39097173455099,37.734015218072294
130427,2013-08-21 06:34:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,NORTHERN,"ARREST, BOOKED",600 Block of LARKIN ST,-122.417505259921,37.7835524987225
